2019-06-13 10:36:27 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 11:52:20 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 11:52:33 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 11:52:33 [deleteStudent       ] delete from student where id_student = :userid Successfull: 1
2019-06-13 11:52:33 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 11:52:35 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 11:52:35 [deleteStudent       ] delete from student where id_student = :userid Successfull: 1
2019-06-13 12:18:49 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 12:18:49 [updateUserRole      ] UPDATE user set role = :userrole where id = :userid Successfull: 1
2019-06-13 12:19:01 [getConnection       ] Connected to Database with connstring: mysql:host=localhost;dbname=agile1_bd;charset=utf8
2019-06-13 12:19:01 [updateStudentName   ] UPDATE student set firstname = :firstname, name = :username where id_student = :userid Successfull: 1
